pm2_5,pm10,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,day_of_week,pm2_5_lag_1,pm2_5_lag_3,pm2_5_rolling_mean_6
119.0,1043.1,35.8,11,7.0,9,5,99.7,65.2,73.8
128.1,1177.2,37.6,10,8.2,10,5,119.0,91.7,81.68333333333334
141.6,1329.9,39.1,9,9.0,11,5,128.1,99.7,93.36666666666667
150.4,1419.3,40.0,8,11.1,12,5,141.6,119.0,107.55
155.1,1460.3,40.7,8,12.3,13,5,150.4,128.1,121.75
160.7,1505.0,40.9,7,14.3,14,5,155.1,141.6,132.3166666666667
139.7,1352.3,41.2,7,15.0,15,5,160.7,150.4,142.48333333333332
155.5,1478.9,40.8,7,15.7,16,5,139.7,155.1,145.9333333333333
159.7,1490.1,40.1,8,14.8,17,5,155.5,160.7,150.5
164.4,1512.5,39.3,8,15.3,18,5,159.7,139.7,153.51666666666668
170.0,1441.7,38.2,9,14.0,19,5,164.4,155.5,155.85
151.8,1255.4,37.5,10,12.3,20,5,170.0,159.7,158.33333333333334
133.6,1054.3,37.0,9,11.3,21,5,151.8,164.4,156.85
122.0,929.5,35.9,10,9.7,22,5,133.6,170.0,155.83333333333334
121.1,940.6,34.8,10,8.6,23,5,122.0,151.8,150.25
129.0,1035.6,33.7,11,7.9,0,6,121.1,133.6,143.81666666666666
136.0,1117.6,32.6,12,7.3,1,6,129.0,122.0,137.91666666666666
144.4,1207.0,31.6,12,7.8,2,6,136.0,121.1,132.25
96.6,733.9,31.4,14,5.7,3,6,144.4,129.0,131.01666666666665
93.1,717.1,30.6,14,6.1,4,6,96.6,136.0,124.85000000000001
97.6,760.0,29.9,15,6.1,5,6,93.1,144.4,120.03333333333332
116.2,933.2,29.8,15,6.9,6,6,97.6,96.6,116.11666666666667
142.5,1113.9,31.1,14,5.6,7,6,116.2,93.1,113.98333333333333
140.2,1125.0,33.4,13,6.5,8,6,142.5,97.6,115.06666666666668
160.7,1367.2,35.8,12,9.8,9,6,140.2,116.2,114.36666666666666
167.6,1486.4,37.5,11,13.7,10,6,160.7,142.5,125.05
170.9,1523.6,38.6,9,12.8,11,6,167.6,140.2,137.46666666666667
165.8,1482.7,39.6,9,12.7,12,6,170.9,160.7,149.6833333333333
158.3,1426.8,40.4,8,12.7,13,6,165.8,167.6,157.95000000000002
148.1,1315.0,40.9,8,12.0,14,6,158.3,170.9,160.58333333333334
